"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
331,"2019-02-01 00:03:56.3250","2019-02-01 00:09:28.1720",108,"Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St",42.377945,-71.116865,377,"Perry Park",42.37927324600841,-71.10341902831351,3817,"Subscriber",1988,1
181,"2019-02-01 00:06:00.5200","2019-02-01 00:09:01.8160",80,"MIT Stata Center at Vassar St / Main St",42.3621312344991,-71.09115600585936,117,"Binney St / Sixth St",42.36616223459919,-71.08688293667001,4436,"Subscriber",1972,1
334,"2019-02-01 00:12:01.6070","2019-02-01 00:17:36.4340",57,"Columbus Ave at Massachusetts Ave",42.340542615516355,-71.08138847914233,36,"Copley Square - Dartmouth St at Boylston St",42.34993463611888,-71.07738554477692,4123,"Subscriber",1990,1
393,"2019-02-01 00:12:18.9190","2019-02-01 00:18:52.8260",22,"South Station - 700 Atlantic Ave",42.352175,-71.055547,40,"Lewis Wharf at Atlantic Ave",42.363871,-71.050877,2915,"Subscriber",1988,2
279,"2019-02-01 00:22:11.2290","2019-02-01 00:26:50.6830",189,"Kendall T",42.362427842912396,-71.08495473861694,91,"One Kendall Square at Hampshire St / Portland St",42.366277,-71.09169,4030,"Subscriber",1987,1
505,"2019-02-01 00:27:46.6400","2019-02-01 00:36:12.2790",95,"Cambridge St - at Columbia St / Webster Ave",42.372969,-71.094445,76,"Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St",42.366426,-71.105495,2126,"Subscriber",1994,1
417,"2019-02-01 00:28:22.8980","2019-02-01 00:35:20.6070",73,"Harvard Square at Brattle St / Eliot St",42.373231,-71.120886,181,"Huron Ave At Vassal Lane",42.381650612901176,-71.13426981498378,2557,"Subscriber",1972,1
318,"2019-02-01 00:40:19.0490","2019-02-01 00:45:37.2200",74,"Harvard Square at Mass Ave/ Dunster",42.373268,-71.118579,378,"191 Beacon St",42.38032335045416,-71.10878612855231,2569,"Subscriber",1988,1
39869,"2019-02-01 00:45:31.8280","2019-02-01 11:50:01.3430",189,"Kendall T",42.362427842912396,-71.08495473861694,178,"MIT Pacific St at Purrington St",42.35957320109044,-71.10129475593567,2619,"Subscriber",1988,1
597,"2019-02-01 00:46:06.5440","2019-02-01 00:56:03.8300",74,"Harvard Square at Mass Ave/ Dunster",42.373268,-71.118579,115,"Porter Square Station",42.387995,-71.119084,3027,"Subscriber",1985,2
658,"2019-02-01 00:54:18.4810","2019-02-01 01:05:16.9830",12,"Ruggles T Stop - Columbus Ave at Melnea Cass Blvd",42.33624444796878,-71.08798563480377,282,"Stony Brook T Stop",42.316966,-71.104374,1667,"Subscriber",1996,1
334,"2019-02-01 00:55:39.1940","2019-02-01 01:01:13.5900",39,"Washington St at Rutland St",42.338514601785995,-71.07404083013535,46,"Christian Science Plaza - Massachusetts Ave at Westland Ave",42.3436658245146,-71.08582377433777,4062,"Subscriber",1992,1
293,"2019-02-01 00:59:49.9440","2019-02-01 01:04:43.0440",80,"MIT Stata Center at Vassar St / Main St",42.3621312344991,-71.09115600585936,335,"Harvard St at Greene-Rose Heritage Park",42.36599432867437,-71.09522221614498,2480,"Subscriber",1992,1
498,"2019-02-01 01:01:16.8820","2019-02-01 01:09:35.2240",364,"Tremont St at Northampton St",42.33889559644165,-71.08149975611013,27,"Roxbury Crossing T Stop - Columbus Ave at Tremont St",42.331184,-71.095171,4343,"Subscriber",1998,1
659,"2019-02-01 01:02:40.7540","2019-02-01 01:13:40.6570",43,"Rowes Wharf at Atlantic Ave",42.357143,-71.050699,98,"Warren St at Chelsea St",42.371848,-71.060292,2130,"Subscriber",1988,1
596,"2019-02-01 01:15:38.7170","2019-02-01 01:25:35.0540",369,"Boston Public Market",42.36254854409333,-71.0573735833168,98,"Warren St at Chelsea St",42.371848,-71.060292,4359,"Subscriber",1980,2
519,"2019-02-01 01:55:38.9390","2019-02-01 02:04:18.4770",107,"Ames St at Main St",42.3625,-71.08822,68,"Central Square at Mass Ave / Essex St",42.36507,-71.1031,2530,"Subscriber",1997,1
1812,"2019-02-01 02:50:37.5910","2019-02-01 03:20:49.6850",80,"MIT Stata Center at Vassar St / Main St",42.3621312344991,-71.09115600585936,100,"Davis Square",42.396969,-71.123024,4532,"Subscriber",1964,1
112392,"2019-02-01 03:05:56.9930","2019-02-02 10:19:09.1020",213,"East Boston Neighborhood Health Center - 20 Maverick Square",42.369536,-71.039431,212,"Maverick Square - Lewis Mall",42.368844082898356,-71.03977829217911,3186,"Customer",1969,0
466,"2019-02-01 03:57:17.8030","2019-02-01 04:05:04.1640",107,"Ames St at Main St",42.3625,-71.08822,184,"Sidney Research Campus/ Erie Street at Waverly",42.35775309465199,-71.10393404960632,4457,"Subscriber",1989,1
810,"2019-02-01 04:02:29.4570","2019-02-01 04:16:00.4060",41,"Packard's Corner - Commonwealth Ave at Brighton Ave",42.352261,-71.123831,193,"Brookline Town Hall",42.33376472623494,-71.12046446660315,3350,"Subscriber",1977,2
